,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
62,941,2019-03-02,9:00p,Los Angeles Lakers,109,Phoenix Suns,118,Box Score,,18055,,18055,1.0
63,957,2019-03-04,10:30p,Los Angeles Clippers,113,Los Angeles Lakers,105,Box Score,,18997,,18997,1.0
64,973,2019-03-06,10:30p,Denver Nuggets,115,Los Angeles Lakers,99,Box Score,,18997,,18997,1.0
65,988,2019-03-09,8:30p,Boston Celtics,120,Los Angeles Lakers,107,Box Score,,18997,,18997,1.0
66,1008,2019-03-12,8:00p,Los Angeles Lakers,123,Chicago Bulls,107,Box Score,,21359,,20917,1.0
67,1022,2019-03-14,8:00p,Los Angeles Lakers,98,Toronto Raptors,111,Box Score,,19962,,19800,1.0
68,1025,2019-03-15,7:00p,Los Angeles Lakers,97,Detroit Pistons,111,Box Score,,20768,,20332,1.0
69,1041,2019-03-17,12:00p,Los Angeles Lakers,123,New York Knicks,124,Box Score,,19812,,19812,1.0
70,1060,2019-03-19,8:00p,Los Angeles Lakers,101,Milwaukee Bucks,115,Box Score,,17879,,17500,1.0
71,1085,2019-03-22,10:30p,Brooklyn Nets,111,Los Angeles Lakers,106,Box Score,,18997,,18997,1.0
72,1101,2019-03-24,9:30p,Sacramento Kings,106,Los Angeles Lakers,111,Box Score,,18997,,18997,1.0
73,1115,2019-03-26,10:30p,Washington Wizards,106,Los Angeles Lakers,124,Box Score,,18997,,18997,1.0
74,1120,2019-03-27,10:30p,Los Angeles Lakers,100,Utah Jazz,115,Box Score,,18306,,18306,1.0
75,1134,2019-03-29,10:30p,Charlotte Hornets,115,Los Angeles Lakers,129,Box Score,,18997,,18997,1.0
76,1146,2019-03-31,6:00p,Los Angeles Lakers,130,New Orleans Pelicans,102,Box Score,,18562,,16867,1.0
77,1160,2019-04-02,8:00p,Los Angeles Lakers,103,Oklahoma City Thunder,119,Box Score,,18203,,18203,1.0
78,1178,2019-04-04,10:30p,Golden State Warriors,108,Los Angeles Lakers,90,Box Score,,18997,,18997,1.0
79,1191,2019-04-05,10:30p,Los Angeles Lakers,122,Los Angeles Clippers,117,Box Score,,17910,,19068,0.9392699811202014
80,1207,2019-04-07,9:30p,Utah Jazz,109,Los Angeles Lakers,113,Box Score,,18997,,18997,1.0
81,1218,2019-04-09,10:30p,Portland Trail Blazers,104,Los Angeles Lakers,101,Box Score,,18997,,18997,1.0
