,index,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Capacity,Attendance Ratio
47,716,2019-01-24,8:00p,Golden State Warriors,126,Washington Wizards,118,Box Score,,20409,,20356,1.0
48,731,2019-01-26,8:30p,Golden State Warriors,115,Boston Celtics,111,Box Score,,18624,,18624,1.0
49,744,2019-01-28,7:00p,Golden State Warriors,132,Indiana Pacers,100,Box Score,,17923,,17923,1.0
50,767,2019-01-31,10:30p,Philadelphia 76ers,113,Golden State Warriors,104,Box Score,,19596,,18064,1.0
51,780,2019-02-02,8:30p,Los Angeles Lakers,101,Golden State Warriors,115,Box Score,,19596,,18064,1.0
52,809,2019-02-06,10:30p,San Antonio Spurs,102,Golden State Warriors,141,Box Score,,19596,,18064,1.0
53,821,2019-02-08,9:00p,Golden State Warriors,117,Phoenix Suns,107,Box Score,,17081,,18055,0.9460537247299917
54,837,2019-02-10,8:30p,Miami Heat,118,Golden State Warriors,120,Box Score,,19596,,18064,1.0
55,851,2019-02-12,10:30p,Utah Jazz,108,Golden State Warriors,115,Box Score,,19596,,18064,1.0
56,862,2019-02-13,10:30p,Golden State Warriors,107,Portland Trail Blazers,129,Box Score,,19549,,19441,1.0
57,870,2019-02-21,10:30p,Sacramento Kings,123,Golden State Warriors,125,Box Score,,19596,,18064,1.0
58,890,2019-02-23,8:30p,Houston Rockets,118,Golden State Warriors,112,Box Score,,19596,,18064,1.0
59,896,2019-02-25,7:00p,Golden State Warriors,121,Charlotte Hornets,110,Box Score,,19419,,19077,1.0
60,913,2019-02-27,7:30p,Golden State Warriors,125,Miami Heat,126,Box Score,,19647,,19600,1.0
61,922,2019-02-28,7:00p,Golden State Warriors,96,Orlando Magic,103,Box Score,,18846,,18846,1.0
62,938,2019-03-02,8:30p,Golden State Warriors,120,Philadelphia 76ers,117,Box Score,,20624,,20478,1.0
63,963,2019-03-05,10:30p,Boston Celtics,128,Golden State Warriors,95,Box Score,,19596,,18064,1.0
64,983,2019-03-08,10:30p,Denver Nuggets,105,Golden State Warriors,122,Box Score,,19596,,18064,1.0
65,999,2019-03-10,8:30p,Phoenix Suns,115,Golden State Warriors,111,Box Score,,19596,,18064,1.0
66,1017,2019-03-13,9:30p,Golden State Warriors,106,Houston Rockets,104,Box Score,,18122,,18055,1.0
67,1037,2019-03-16,8:30p,Golden State Warriors,110,Oklahoma City Thunder,88,Box Score,,18203,,18203,1.0
68,1054,2019-03-18,8:00p,Golden State Warriors,105,San Antonio Spurs,111,Box Score,,18354,,18418,0.9965251384515148
69,1061,2019-03-19,8:00p,Golden State Warriors,117,Minnesota Timberwolves,107,Box Score,,17964,,18978,0.9465697122984509
70,1078,2019-03-21,10:30p,Indiana Pacers,89,Golden State Warriors,112,Box Score,,19596,,18064,1.0
71,1091,2019-03-23,8:30p,Dallas Mavericks,126,Golden State Warriors,91,Box Score,,19596,,18064,1.0
72,1100,2019-03-24,8:30p,Detroit Pistons,114,Golden State Warriors,121,Box Score,,19596,,18064,1.0
73,1117,2019-03-27,8:00p,Golden State Warriors,118,Memphis Grizzlies,103,Box Score,,17794,,17794,1.0
74,1131,2019-03-29,8:00p,Golden State Warriors,130,Minnesota Timberwolves,131,Box Score,OT,18978,,18978,1.0
75,1149,2019-03-31,8:30p,Charlotte Hornets,90,Golden State Warriors,137,Box Score,,19596,,18064,1.0
76,1163,2019-04-02,10:30p,Denver Nuggets,102,Golden State Warriors,116,Box Score,,19596,,18064,1.0
77,1178,2019-04-04,10:30p,Golden State Warriors,108,Los Angeles Lakers,90,Box Score,,18997,,18997,1.0
78,1190,2019-04-05,10:30p,Cleveland Cavaliers,114,Golden State Warriors,120,Box Score,,19596,,18064,1.0
79,1204,2019-04-07,8:30p,Los Angeles Clippers,104,Golden State Warriors,131,Box Score,,19596,,18064,1.0
80,1214,2019-04-09,8:00p,Golden State Warriors,112,New Orleans Pelicans,103,Box Score,,17090,,16867,1.0
81,1222,2019-04-10,8:00p,Golden State Warriors,117,Memphis Grizzlies,132,Box Score,,17794,,17794,1.0
