Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
"Fri, Feb 27, 2015",7:00p,Washington Wizards,81,Philadelphia 76ers,89,Box Score,,18089,
"Fri, Feb 27, 2015",7:30p,Orlando Magic,88,Atlanta Hawks,95,Box Score,,18968,
"Fri, Feb 27, 2015",7:30p,Charlotte Hornets,98,Boston Celtics,106,Box Score,,18624,
"Fri, Feb 27, 2015",7:30p,New York Knicks,121,Detroit Pistons,115,Box Score,2OT,16182,
"Fri, Feb 27, 2015",7:30p,Golden State Warriors,113,Toronto Raptors,89,Box Score,,19800,
"Fri, Feb 27, 2015",8:00p,Minnesota Timberwolves,89,Chicago Bulls,96,Box Score,,21635,
"Fri, Feb 27, 2015",8:00p,Brooklyn Nets,98,Houston Rockets,102,Box Score,,18139,
"Fri, Feb 27, 2015",8:00p,Los Angeles Clippers,97,Memphis Grizzlies,79,Box Score,,18119,
"Fri, Feb 27, 2015",8:00p,Miami Heat,102,New Orleans Pelicans,104,Box Score,,17797,
"Fri, Feb 27, 2015",9:00p,Utah Jazz,104,Denver Nuggets,82,Box Score,,15002,
"Fri, Feb 27, 2015",10:00p,San Antonio Spurs,107,Sacramento Kings,96,Box Score,,17317,
"Fri, Feb 27, 2015",10:30p,Milwaukee Bucks,93,Los Angeles Lakers,101,Box Score,,18997,
"Fri, Feb 27, 2015",10:30p,Oklahoma City Thunder,112,Portland Trail Blazers,115,Box Score,,19962,
"Sat, Feb 28, 2015",7:00p,Detroit Pistons,95,Washington Wizards,99,Box Score,,20356,
"Sat, Feb 28, 2015",7:30p,Atlanta Hawks,93,Miami Heat,91,Box Score,,19733,
"Sat, Feb 28, 2015",7:30p,Toronto Raptors,98,New York Knicks,103,Box Score,,19812,
"Sat, Feb 28, 2015",8:00p,Memphis Grizzlies,101,Minnesota Timberwolves,97,Box Score,,19356,
"Sat, Feb 28, 2015",8:30p,Brooklyn Nets,104,Dallas Mavericks,94,Box Score,,20367,
"Sat, Feb 28, 2015",9:00p,San Antonio Spurs,101,Phoenix Suns,74,Box Score,,18055,
"Sat, Feb 28, 2015",9:00p,Milwaukee Bucks,75,Utah Jazz,82,Box Score,,19515,
